sifra,naziv,placa,lokacija,opis
320169,STREŽBA,6.00 €/h neto (7.10 €/h bruto),KOMENDA,Iščejo simpatični osebi za delo v kava baru v Komendi. Izkušnje niso potrebne. Zaželen lasten prevoz. Pogoj: polnoletnost.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 320169 . Narava dela: začasno in občasno delo 
320167,STREŽBA,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA," Iščejo nove polnoletne sodelavce in sodelavke željne dela. Izkušnje so priporočljive, niso pa pogoj. V kolikor si želiš novega znanja, dobrega ambienta potem si prava/pravi. Plačilo se giblje od 6,00 €/h bruto do 9,67 €/h bruto. Ni potrebno pošiljati življenjepisa, raje vidijo, da jih pokličete ali pridete k njim osebno v lokal.Št. prostih mest: 6 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 320167 . Narava dela: začasno in občasno delo "
320166,POMOČ V STREŽBI,5.00 €/h neto (5.92 €/h bruto),IZOLA, Podjetje išče primerno osebo za strežbo. Pogoj je starost nad 18 let.Št. prostih mest: 2 . Trajanje: DO OKTOBRA 2020 . Delovnik: Izmensko. Šifra: 320166 . Narava dela: začasno in občasno delo 
320163,STREŽBA HRANE IN PIJAČE,5.40 €/h neto (6.39 €/h bruto),VELENJE,"Podjetje potrebuje osebo za pomoč v strežbi hrane in pijače. Zaželene so izkušnje. Delo poteka večinoma med tednom od 8. ure, vikendi po dogovoru. Možnost kasnejše zaposlitve.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 320163 . Narava dela: začasno in občasno delo "
320157,POMOČ V STREŽBI,5.50 €/h neto (6.51 €/h bruto),ČRNUČE,"Podjetje potrebuje polnoletno osebo, ki je pripravljena delati v šanku do 4 krat na teden, predvsem v popoldanskem času po 16. uri.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 320157 . Narava dela: začasno in občasno delo "
320142,STREŽBA,5.80 €/h neto (6.86 €/h bruto),KRVAVI POTOK,"Iščejo osebo za strežbo. Pogoj je starost nad 18 let. Zaželeno: izkušnje, lasten prevoz in osnovno znanje italijanskega jezika. Plačilo od 6,86 do 7,10 € bruto.Št. prostih mest: 1 . Trajanje: ČEZ SEZONO . Delovnik: Izmensko. Šifra: 320142 . Narava dela: začasno in občasno delo "
320133,STREŽBA HRANE IN PIJAČE,4.56 €/h neto (5.40 €/h bruto),RADOVLJICA,Podjetje išče osebo za pomoč v strežbi. Pogoj je starost nad 17 let in izkušnje v strežbi.Št. prostih mest: 1 . Trajanje: POLETNA SEZONA . Delovnik: Po dogovoru. Šifra: 320133 . Narava dela: začasno in občasno delo 
320121,DELO NA RECEPCIJIDELO NA BLAGAJNI,5.07 €/h neto (6.00 €/h bruto),PORTOROŽ,"Za delo na recepciji in blagajni podjetje išče polnoletno osebo z osnovnim znanjem italijanskega jezika. Urna postavka za nočno delo 6,5 € bruto. Z delom na blagajni možnost napitnine.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320121 . Narava dela: začasno in občasno delo "
320120,STREŽBA,5.07 €/h neto (6.00 €/h bruto),PORTOROŽ,"Podjetje išče primerno osebo za delo v šanku. Pogoj je starost nad 18 let. Nočno delo 6,5 €/h brutoŠt. prostih mest: 10 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320120 . Narava dela: začasno in občasno delo "
320119,STREŽBA,5.07 €/h neto (6.00 €/h bruto),KOPER,Podjetje išče osebo za strežbo. Pogoj je starost nad 18 let. Zaželene izkušnje.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320119 . Narava dela: začasno in občasno delo 
320116,STREŽBA,PO DOGOVORU...,JARŠE,Fast food okrepčevalnica ob železniški postaji išče osebo za strežbo. Obvezne so izkušnje. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320116 . Narava dela: začasno in občasno delo 
320102,POMOČ V STREŽBI,4.56 €/h neto (5.40 €/h bruto),LOGATEC,Potrebujejo pridno in komunikativno osebo za strežbo v baru. Pogoj je starost vsaj 22 let. Zaželene so izkušnje. Poslovni čas lokala je od 6. do 22. ure.Št. prostih mest: 2 . Trajanje: PO DOGOVORU . Delovnik: Izmensko. Šifra: 320102 . Narava dela: začasno in občasno delo 
320098,STREŽBA,6.00 €/h neto (7.10 €/h bruto),LJUBLJANA CENTER,"Iščejo simpatično osebo za pomoč v kava baru. Delovni čas je v času med 10.00 do 14.00, po potrebi in dogovoru. Pogoj so izkušnje.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 320098 . Narava dela: začasno in občasno delo "
320095,POMOČ V STREŽBI,6.50 €/h neto (7.69 €/h bruto),KRANJSKA GORA,Restavracija visoke kulinarike v svoj mlad kolektiv vabi kandidate za strežbo hrane in pijače. Izkušnje z delom v gostinstvu dobrodošle. Nudijo možnost prenočišča.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 320095 . Narava dela: začasno in občasno delo 
320093,STREŽBA,5.50 €/h neto (6.51 €/h bruto),STIČNA,Potrebujejo osebe za delo v strežbi.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Med vikendom. Šifra: 320093 . Narava dela: začasno in občasno delo 
320091,STREŽBA,7.00 €/h neto (8.28 €/h bruto),APAČE,Podjetje porebuje dve osebi za pomoč v strežbi. Delo zajema pripravo in postrežbo pijače. Delo se začne in konča točno ob uri.Št. prostih mest: 2 . Trajanje: PO DOGOVRU . Delovnik: Po dogovoru. Šifra: 320091 . Narava dela: začasno in občasno delo 
320087,STREŽBA,4.56 €/h neto (5.40 €/h bruto),SEŽANA,Strežba v lokalu. Možen dogovor glede dela - lahko med tednom ali samo vikendi. Plačilo glede na izkušnje in učinek. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Izmensko. Šifra: 320087 . Narava dela: začasno in občasno delo 
320084,FIZIČNA DELASPREVODNIK ŽIČNIŠKIH NAPRAV,5.00 €/h neto (5.92 €/h bruto),KAMNIŠKA BISTRICA,Iščejo pridne in zanesljive študente za pomoč pri delu na žičniških napravah.  Izkušnje niso potrebne. Urnik in trajanje dela po dogovoruŠt. prostih mest: 3 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 320084 . Narava dela: začasno in občasno delo 
320076,STROKOVNO DELO,5.49 €/h neto (6.50 €/h bruto),PTUJ,"Podjetje potrebuje polnoletno osebo za delo v veterinarski ambulanti in pomoč veterinarju na terenu - pri rejcih perutnine (cepljenje, pobiranje vzorcev, ...). Obvezen pogoj je študij veterine. Delo poteka meseca julija v dopoldanskem času. Za varnost glede virusa Covid 19 je poskrbljeno. Zainteresirani kandidati pokličite na kontakt podjetja.Št. prostih mest: 1 . Trajanje: JULIJ 2020 . Delovnik: Dopoldan. Šifra: 320076 . Narava dela: začasno in občasno delo "
320072,STREŽBA,5.00 €/h neto (5.92 €/h bruto),ŠMARTNO PRI LITIJI,"Pomoč v strežbi v lokalu in na terasi. Dela se večinoma ob vikendih oziroma po dogovoru.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO), LAHKO SAMO MED POČITNICAMI . Delovnik: Po dogovoru. Šifra: 320072 . Narava dela: začasno in občasno delo "
320069,DELO V PROIZVODNJIROČNA DELA,4.82 €/h neto (5.70 €/h bruto),PTUJ,"Podjetje potrebuje polnoletne osebe za lažja ročna dela v proizvodnji mesne industrije - pakiranje, predelava, tovarna pripravljenih jedi. Gre za dopoldansko in popoldansko delo, po dogovoru in potrebi. Dopoldan je pričetek ob 6. uri, popoldan ob 14. uri. Podjetje nudi tudi malico. Za varnost glede virusa Covid 19 je poskrbljeno. Interesenti pošljite vlogo na kontakt podjetja, v njej obvezno navedite svoj gsm kontakt ali jo osebno nesite na recepcijo podjetja.Št. prostih mest: 30 . Trajanje: JULIJ, AVGUST . Delovnik: Izmensko. Šifra: 320069 . Narava dela: začasno in občasno delo "
320067,STREŽBA,PO DOGOVORU...,KAMNIK,Potrebujejo polnoletno osebo za prodajo sladoleda ter strežbo pijače po potrebi. Prednost kandidati iz okolice Kamnika. Zaželene so izkušnje. Samostojno  in marljivo delo nagradijo z višjo urno postavko. Kličite po 13. uri.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 320067 . Narava dela: začasno in občasno delo 
320066,TELEFONIST,PO DOGOVORU...,PORTOROŽ,"Delo v 5* luksuznem hotelu kot telefonist. Zahtevano znanje slovenskega, italijanskega, angleškega in nemškega jezika. Pogoj je starost nad 18 let. Prijavo s telefonsko številko pošlji na email.Št. prostih mest: 1 . Trajanje: DO 31. 8. 2020 Z MOŽNOSTJO PODALJŠANJA . Delovnik: Izmensko. Šifra: 320066 . Narava dela: začasno in občasno delo "
320065,STREŽBA,PO DOGOVORU...,KOPER,"Podjetje išče dve polnoletni osebi za delo strežbi. Izkušnje so zaželene, niso pa pogoj. Potni stroški so stvar dogovora.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320065 . Narava dela: začasno in občasno delo "
320064,STREŽBA,PO DOGOVORU...,KOZINA,"Podjetje išče dve polnoletni osebi za delo v strežbi. Izkušnje so zaželene, niso pa pogoj. Potni stroški so stvar dogovora.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320064 . Narava dela: začasno in občasno delo "
320055,STREŽBA,5.07 €/h neto (6.00 €/h bruto),PIRAN,Delo v mirnem lokalu. Pogoj je starost nad 18 let. Zaželene vsaj minimalne izkušnje s strežbo in pripravo kave.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Med vikendom. Šifra: 320055 . Narava dela: začasno in občasno delo 
320053,DELO NA TERENUDOSTAVA,5.00 €/h neto (5.92 €/h bruto),LJUBLJANA,"Iščejo osebo za delo na terenu (dostava). Pogoji: starost nad 20 let, izpit B kategorije ter bivanje v okolici Ljubljane. Vozi se službeno vozilo.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 320053 . Narava dela: začasno in občasno delo "
320020,DELO V KUHINJI,5.00 €/h neto (5.92 €/h bruto),HORJUL,Podjetje išče osebo za pomoč v kuhinji. Pogoji: resnost in zanesljivost.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320020 . Narava dela: začasno in občasno delo 
320019,STREŽBA,5.00 €/h neto (5.92 €/h bruto),LJUBLJANA ČRNUČE,Pomoč v strežbi. Za delovni čas se dogovoriš. Pogoj je starost nad 18 let.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320019 . Narava dela: začasno in občasno delo 
320018,STREŽBA,5.00 €/h neto (5.92 €/h bruto),HORJUL,Strežba v prijetnem ambientu. Zaželene so izkušnje in lasten prevoz. Delo poteka 2 do 3x na teden v popoldanskem času oz. po dogovoru.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 320018 . Narava dela: začasno in občasno delo 
320017,FIZIČNA DELAPOBIRANJE SMETI,5.50 €/h neto (6.51 €/h bruto),RIBNICA,Podjetje potrebuje polnoletni osebi za fizična dela na terenu (vzdrževalec cest in delo smetarja ). Malica ni plačana. Prijavo pošljite na e-naslov.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 320017 . Narava dela: začasno in občasno delo 
320004,STREŽBA,5.20 €/h neto (6.15 €/h bruto),LJUBLJANA,"Točenje in strežba pijač. Pogoj je starost nad 18 let. Izkušnje so zaželene, niso pa pogoj za delo.Št. prostih mest: 2 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 320004 . Narava dela: začasno in občasno delo "
320002,STREŽBA,5.00 €/h neto (5.92 €/h bruto),PRAGERSKO,"Za strežbo v lokalu iščejo polnoletno, prijazno, urejeno in komunikativno osebo. Delovni čas je izmenski. Plačilo: 5,92 € br./h + dodatek na promet. Zaželene so izkušnje v strežbi, niso pa pogoj.Št. prostih mest: 3 . Trajanje: PO DOGOVORU . Delovnik: Izmensko. Šifra: 320002 . Narava dela: začasno in občasno delo "
319992,STREŽBA HRANE IN PIJAČE,5.00 €/h neto (5.92 €/h bruto),MIKLAVŽ NA DRAVSKEM POLJU,"V mlad, veselja in energije poln kolektiv vabijo novega/o natakarja/ico.Gostinski lokal se nahaja v sklopu športno rekreacijskega objekta.Obvezen je vozniški izpit B kategorije.Prijave sprejemajo na e-mail.Št. prostih mest: 2 . Trajanje: TAKOJ, DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319992 . Narava dela: začasno in občasno delo "
319986,POMOČ V STREŽBI,5.50 €/h neto (6.51 €/h bruto),DRAŽENCI,Strežba hrane in pijače v mirnem lokalu v Dražencih pri Ptuju. Delovni čas je po dogovoru. Pogoj je starost nad 18 let.  Priporočljive delovne izkušnje in komunikativnost.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319986 . Narava dela: začasno in občasno delo 
319979,LAŽJA FIZIČNA DELADELO NA PLAŽI,PO DOGOVORU...,PORTOROŽ,Podjetje išče resne študente/ke za pomoč pri vzdrževanju 5*superior  hotelske plaže ter pomoč pri strežbi hrane in pijače. Pogoj je starost nad 18 let. Pri prijavi obvezno navedite vašo telefonsko številko kjer vas lahko kontaktiramo.Št. prostih mest: 5 . Trajanje: DO OKTOBRA 2020 . Delovnik: Izmensko. Šifra: 319979 . Narava dela: začasno in občasno delo 
319976,STREŽBA,5.49 €/h neto (6.50 €/h bruto),PORTOROŽ,Podjetje išče primerni osebi za delo v strežbi. Pogoj je starost nad 18 let.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319976 . Narava dela: začasno in občasno delo 
319974,ANKETIRANJETRŽENJE,5.49 €/h neto (6.50 €/h bruto),VRHNIKA,"Iščejo študente/ke za delo na področju trženja telekomunikacijskih produktov (izvajanje prodaje, obdelava portfelja strank, dogovarjanje sestankov s strankami, priprava dokumentacije, komunikacija po telefonu, e-pošti, udeležba izobraževanj). Zaželene iskušnje s področja prodaje na terenu, odgovornost, samostojnost, poznavanje MS Offica, izpit B kat., lasten prevoz. Nudijo fleksibilen del. čas. Plačilo je lahko višje, če je delo dobro opravljeno. Prijavo + CV pošlji na e-mail.Št. prostih mest: 7 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319974 . Narava dela: začasno in občasno delo "
319973,ANKETIRANJETRŽENJE,5.49 €/h neto (6.50 €/h bruto),DOLENJSKA,"Iščejo študente/ke za delo na področju trženja telekomunikacijskih produktov (izvajanje prodaje, obdelava portfelja strank, dogovarjanje sestankov s strankami, priprava dokumentacije, komunikacija po telefonu, e-pošti, udeležba izobraževanj). Zaželene iskušnje s področja prodaje na terenu, odgovornost, samostojnost, poznavanje MS Offica, izpit B kat., lasten prevoz. Nudijo fleksibilen del. čas. Plačilo je lahko višje, če je delo dobro opravljeno. Prijavo + CV pošlji na e-mail.Št. prostih mest: 7 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319973 . Narava dela: začasno in občasno delo "
319965,POMOČ UPORABNIKOM,5.50 €/h neto (6.51 €/h bruto),GORNJA RADGONA,"Digitalna agencija, ki sodeluje tudi z največjimi naročniki z regije, išče študenta/ko za pomoč uporabnikom v poljskem jeziku na socialnih omrežjih. Pogoji: znanje poljskega jezika, natančnost, odgovornost. Svojo prijavo pošljite na e-mail.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 319965 . Narava dela: začasno in občasno delo "
319964,POMOČ UPORABNIKOM,5.50 €/h neto (6.51 €/h bruto),GORNJA RADGONA,"Digitalna agencija, ki sodeluje tudi z največjimi naročniki z regije, išče študenta/ko za pomoč uporabnikom v češkem jeziku na socialnih omrežjih. Pogoji: znanje češkega jezika, natančnost, odgovornost. Svojo prijavo pošljite na e-mail.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 319964 . Narava dela: začasno in občasno delo "
319963,POMOČ UPORABNIKOM,5.50 €/h neto (6.51 €/h bruto),GORNJA RADGONA,"Digitalna agencija, ki sodeluje tudi z največjimi naročniki z regije, išče študenta/ko za pomoč uporabnikom v slovaškem jeziku na socialnih omrežjih. Pogoji: znanje slovaškega jezika, natančnost, odgovornost. Svojo prijavo pošljite na e-mail.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 319963 . Narava dela: začasno in občasno delo "
319943,PROJEKTIRANJE,PO DOGOVORU...,LJUBLJANA BTC,"Potrebujejo študenta/-ko arhitekture, obvladati mora programe za risanje (Autocad, Archicad). Delo je projektno, plačilo po dogovoru.Št. prostih mest: 1 . Trajanje: PO PROJEKTU . Delovnik: Po dogovoru. Šifra: 319943 . Narava dela: začasno in občasno delo "
319940,STREŽBA,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA BEŽIGRAD,"Podjetje išče osebo za delo v strežbi v lepo urejeni kavarni. Plačilo je od 6 € bruto/h do 7,5 € bruto/h. Pogoji: starost nad 18 let, urejenost in resnost. Delo poteka po dogovoru.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319940 . Narava dela: začasno in občasno delo "
319939,STREŽBA,6.00 €/h neto (7.10 €/h bruto),LJUBLJANA,"Podjetje išče osebo za pomoč v strežbi. Zaželene izkušnje, vendar niso pogoj. Prijave sprejemajo na telefon.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319939 . Narava dela: začasno in občasno delo "
319932,STREŽBA,6.00 €/h neto (7.10 €/h bruto),CERKVENJAK,"Podjetje potrebuje polnoletni, komunikativni, vestni, zanesljivi in urejeni osebi za delo v strežbi. Dela se po dogovoru in potrebi, tako med tednom kot tudi med vikendi - nedelje popoldan imajo zaprto. Imajo tudi svojo čistilko. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319932 . Narava dela: začasno in občasno delo "
319931,STREŽBA,5.00 €/h neto (5.92 €/h bruto),MARIBOR,"Podjetje potrebuje  prijetno, komunikativno osebo za delo v strežbi. Delo poteka v urejenem in prijetnem lokalu v bližini fakultet. Osnove dela v gostinstvu so obvezne. Delo je izmensko ali po dogovoru.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319931 . Narava dela: začasno in občasno delo "
319917,STREŽBA HRANE IN PIJAČE,5.00 €/h neto (5.92 €/h bruto),CELJE,"Podjetje išče urejeno, pošteno in samoiniciativno osebo za delo v strežbi hrane in pijače. Izkušnje so zaželene, niso pa nujne.Št. prostih mest: 2 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319917 . Narava dela: začasno in občasno delo "
319913,STREŽBA HRANE IN PIJAČE,5.50 €/h neto (6.51 €/h bruto),NOVA GORICA,Strežba hrane in pijače v piceriji. Pogoj je starost nad 18 let in izpit B kategorije. Pomoč potrebujemo občasno. Urnik po dogovoru.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319913 . Narava dela: začasno in občasno delo 
319910,STREŽBA,5.00 €/h neto (5.92 €/h bruto),HRVATINI,Bar išče osebo za strežbo. Pogoj je starost nad 18 let. Zaželene izkušnje.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 319910 . Narava dela: začasno in občasno delo 
319901,POMOČ V STREŽBI,5.50 €/h neto (6.51 €/h bruto),LJUBLJANA - FUŽINE,"Podjetje išče polnoletni osebi za delo v gostinskem lokalu (strežba toplih in hladnih napitkov). Zaželene so izkušnje, niso pa pogoj. Oseba naj bo komunikativna, urejena, poštena, resna in vestna za delo. Dopoldanska izmena je plačana 6,51 € bruto/h, popoldanska pa 8,28 € bruto/h. Prijave sprejemajo na e-mail ali gsm.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319901 . Narava dela: začasno in občasno delo "
319900,GRADBENA DELA,PO DOGOVORU...,NA TERENU,"Podjetje potrebuje vestno in zanesljivo osebo višjega letnika, oz. absolventa/ko gradbene fakultete za pomoč pri vodenju gradbišč. Interesenti naj pokliočejo ali pošljejo vlogo na kontakt podjetja.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319900 . Narava dela: začasno in občasno delo "
319898,STREŽBA,5.50 €/h neto (6.51 €/h bruto),MENGEŠ,"Odpirajo novo kavarno in potrebujejo študente/tke, ki jih veseli delo v strežbi. Pogoj je starost nad 18 let.Št. prostih mest: 3 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319898 . Narava dela: začasno in občasno delo "
319893,STREŽBA,5.00 €/h neto (5.92 €/h bruto),FIESA,Podjetje išče primerno osebo za strežbo. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: DO SEPTEMBRA 2020 . Delovnik: Po dogovoru. Šifra: 319893 . Narava dela: začasno in občasno delo 
319892,LAŽJA FIZIČNA DELADELO NA PLAŽI,5.00 €/h neto (5.92 €/h bruto),FIESA,Podjetje išče primerno osebo za delo na plaži. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: DO SEPTEMBRA 2020 . Delovnik: Po dogovoru. Šifra: 319892 . Narava dela: začasno in občasno delo 
319890,STREŽBA HRANE IN PIJAČE,5.00 €/h neto (5.92 €/h bruto),FIESA,Podjetje išče primerno osebo za strežbo  v baru na plaži. Pogoj je starost nad 18 let.Št. prostih mest: 2 . Trajanje: DO SEPTEMBRA 2020 . Delovnik: Po dogovoru. Šifra: 319890 . Narava dela: začasno in občasno delo 
319887,STREŽBA,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA,"Podjetje potrebuje osebe za gostinska dela ( skrb za kakovostno in ažurno postrežbo, prevzemanje naročil gostov in obračun storitev, skrb za urejenost delovnega mesta, opravljanje drugih nalog po navodilih nadrejenega....).Št. prostih mest: 3 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 319887 . Narava dela: začasno in občasno delo "
319852,POMOČ V STREŽBI,4.56 €/h neto (5.40 €/h bruto),LUCIJA,"Si želiš delati v prijetnem ambientu kavarne med mladim in energičnim teamom?  Z veseljem te sprejmejo medse, njihovo znanje z veseljem prenesejo, zato izkušnje niso pogoj.Št. prostih mest: 3 . Trajanje: POLETJE 2020 . Delovnik: Med vikendom. Šifra: 319852 . Narava dela: začasno in občasno delo "
319846,DELO NA TERENUPREVOZ,5.07 €/h neto (6.00 €/h bruto),"TEREN, SLOVENIJA","Podjetje potrebuje vestno, zanesljivo in prijazno osebo za pomoč pri prevozih sanitetnega vozila. Delovnik poteka po potrebi in dogovoru. Pogoji: starost nad 20 let, empatija, srednješolska izobrazba zdravstveni tehnik ali študij v zdravstvu in najmanj 2 leti vozniški izpit B kategorije. Interesenti naj pokličejo na kontakt podjetja.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319846 . Narava dela: začasno in občasno delo "
319828,POMOČ PRI PRODAJI,4.65 €/h neto (5.50 €/h bruto),LJUBLJANA KOSEZE,Pomoč pri prodaji v trgovini z živili. Pogoj je starost nad 18 let. Delovni čas je fleksibilen.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 319828 . Narava dela: začasno in občasno delo 
319822,FIGURANT,6.50 €/h neto (7.69 €/h bruto),TERENSKO DELO PO SLOVENIJI,"Zaželen študent/-ka geodezije ali z izkušnjami z geodetskim delom, znanjem figurantskih del, poznavanjem geodetskega inštrumenta in delno poznavanjem geodetskih orodij (AutoCAD, Geos, GeoPro...)Št. prostih mest: 2 . Trajanje: PO DOGOVORU, VEZANO NA PROJEKTE . Delovnik: Po dogovoru. Šifra: 319822 . Narava dela: začasno in občasno delo "
319801,RAZVOZPOMOČ V KUHINJI,4.80 €/h neto (5.68 €/h bruto),ZAGORJE OB SAVI IN OKOLICA,Dostava hrane in pomoč v kuhinji. Pogoj je starost nad 18 let in vozniški izpit.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319801 . Narava dela: začasno in občasno delo 
319800,POMOČ V STREŽBI,4.80 €/h neto (5.68 €/h bruto),ZAGORJE OB SAVI,Pomoč v strežbi v restavraciji  in na terasi.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319800 . Narava dela: začasno in občasno delo 
319791,KLICNI CENTER,4.56 €/h neto (5.40 €/h bruto),MARIBOR,"Iščejo študenta/ko za sprejem strank in klicni center v njihovem podjetju. Delo bo potekalo zaenkrat 3 x tedensko, kasneje po dogovoru. Oseba mora biti zelo karizmatična, komunikativna, urejena in pripravljena za delo. Obvezno dobro poznavanja Excela, Worda in druga računalniška znanja po potrebi. Zaželena je pravna ali ekonomska smer, z dobrim računalniškim znanjem. Zraven urne postavke pripada stimulacija za delovno uspešnost. Ponujajo možnost napredovanja in kasneje možnost redne zaposlitve.Št. prostih mest: 1 . Trajanje: DLJE ČASA (MOŽNOST REDNE ZAPOSLITVE) . Delovnik: Po dogovoru. Šifra: 319791 . Narava dela: začasno in občasno delo "
319753,POMOČ V STREŽBI,4.73 €/h neto (5.60 €/h bruto),PODVINCI,"Podjetje potrebuje polnoletno in komunikativno osebo za delo v strežbi v trgovsko - gostinskem lokalu. Delo je čez sezono. Delovni čas je po dogovoru. Za prijavo pokličite na kontakt podjetja.Št. prostih mest: 1 . Trajanje: POČITNIŠKO, PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319753 . Narava dela: začasno in občasno delo "
319748,STREŽBA,5.07 €/h neto (6.00 €/h bruto),ŠKOFJA LOKA,"Podjetje išče kandidata za delo v strežbi, pričetek dela takoj.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319748 . Narava dela: začasno in občasno delo "
319745,DELO NA TERENU,4.65 €/h neto (5.50 €/h bruto),MARIBOR - NOVO MESTO- MARIBOR,Podjetje potrebuje pomoč pri delu na terenu. Prevoz iz Maribora do Novega mesta in nazaj je organiziran.Št. prostih mest: 10 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 319745 . Narava dela: začasno in občasno delo 
319743,POMOČ V STREŽBI,5.00 €/h neto (5.92 €/h bruto),LENDAVA,Podjetje potrebuje dve osebi za strežbo pijač.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 319743 . Narava dela: začasno in občasno delo 
