sifra,naziv,placa,lokacija,opis
321373,STREŽBADELO NA RECEPCIJI,6.00 €/h neto (7.10 €/h bruto),ANAKRAN,Podjetje išče urejeno in komunikativno polnoletno osebo za delo v strežbi in na recepciji. Dela se najkasneje do 2 ure zjutraj. Pogovorno znanje italijanskega jezika.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321373 . Narava dela: začasno in občasno delo 
321372,POMOČ PRI PRODAJI,5.40 €/h neto (6.39 €/h bruto),DRAVOGRAD,"Podjetje potrebuje polnoletno, prijazno in komunikativno osebo za pomoč pri prodaji. Pogoj je osnovno znanje računalnika.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: dopoldan. Šifra: 321372 . Narava dela: začasno in občasno delo "
321371,FIZIČNA DELAGRADBENA DELA,4.56 €/h neto (5.40 €/h bruto),PORTOROŽ,"Potrebujejo tri polnoletne, fizično močne osebo za pomoč pri gradbenih delih.Št. prostih mest: 3 . Trajanje: 1 MESEC . Delovnik: Dopoldan. Šifra: 321371 . Narava dela: začasno in občasno delo "
321370,ADMINISTRATIVNA DELA,5.60 €/h neto (6.63 €/h bruto),"SLOVENJA VAS, HAJDINA","Podjetje išče osebo za raznovrstna administrativna dela, ki se je pripravljena hitro učiti. Pomembne so dobre veščine komuniciranja, zaželena je izobrazba ekonomsko-poslovne smeri. Pogoj je odlično znanje angleščine, znanje nemščine je velika prednost. Prijavo pošlji na e-mail s kratko predstavitvijo.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321370 . Narava dela: začasno in občasno delo "
321369,POMOČ V TRGOVINI,4.56 €/h neto (5.40 €/h bruto),SEŽANA,"Podjetje potrebuje polnoletni, vestni, komunikativni in zanesljivi osebi za vsestransko pomoč v prodajalni. Le-to zajema delo na blagajni, svetovanje strankam, pomoč pri prodaji, ipd. Dela se v dopoldanskem in popoldanskem času, po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.Št. prostih mest: 2 . Trajanje: POLETJE 2020 ALI DLJE ČASA OBČASNO . Delovnik: Izmensko. Šifra: 321369 . Narava dela: začasno in občasno delo "
321368,POMOČ V STREŽBIPOMOČ V KUHINJI,4.56 €/h neto (5.40 €/h bruto),"BLED, ZASIP - HOM","Pomoč v okrepčevalnici - pomoč pri strežbi in pripravi hitre hrane. Plačilo od 5,40 €/h bruto dalje.Št. prostih mest: 1 . Trajanje: CCA DO 30. 9. 2020 . Delovnik: Po dogovoru. Šifra: 321368 . Narava dela: začasno in občasno delo "
321367,ČIŠČENJERAZKUŽEVANJE OBJEKTOV,4.56 €/h neto (5.40 €/h bruto),KOPER,"Podjetje išče osebo za pomoč pri čiščenju in razkuževanju prostorov fakultete. Delo bo potekalo od ponedeljka do petka (predvidoma popoldan). Od študenta/tke pričakujejo: zanesljivost, natančnost, samostojnost, prilagodljivost. Prijave z življenjepisom (CV) sprejemajo na elektronski naslov do vključno petka, 31. 7. 2020.Št. prostih mest: 1 . Trajanje: OD 17. 8. 2020 DO 21. 8. 2020 . Delovnik: Popoldan. Šifra: 321367 "
321365,DELO V PROIZVODNJI,4.70 €/h neto (5.56 €/h bruto),DOMŽALE KOLIČEVO,"Delo v proizvodnem obratu (polnjenje izdelkov) uspešnega slovenskega podjetja za premaze. Organiziran je tudi brezplačen topel obrok. Pogoji: polnoletnost, odgovornost. Vikendi prosti.Št. prostih mest: 1 . Trajanje: DO 31. 8. 2020 . Delovnik: Izmensko. Šifra: 321365 . Narava dela: začasno in občasno delo "
321364,STREŽBA,6.00 €/h neto (7.10 €/h bruto),MARIBOR,"V mladem kolektivu novega lokala in kluba v Vetrinjskem dvoru porebujejo samostojno in komunikativno VODJO STREŽBE. Lokal je odprt od ponedeljka do sobote (med vikendi tudi zvečer). Če imaš poleg delovnih izkušenj v strežbi in organizaciji dela še željo po vodenju nabav, sodelovanju pri pripravi ponudbe ter pomoči pri izobraževanju zaposlenih, se jim predstavi na mail.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321364 . Narava dela: začasno in občasno delo "
321363,STREŽBA,5.00 €/h neto (5.92 €/h bruto),MARIBOR,"V mladem kolektivu novega lokala in kluba iščejo komunikativne in prijazne osebe z izkušnjami v strežbi, pripravi kave in različnih pijač. Delo poteka med ponedeljkom in soboto (med vikendi tudi zvečer). Predstavi se jim na email podjetja - veselijo se srečanja!Št. prostih mest: 5 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321363 . Narava dela: začasno in občasno delo "
